Index,Task,Assigned_to,reason
0,START OF INSPECTION JOB,HUMAN AND ROBOT,COLLABORATIVE
1,GAS CHECK[TANK] ,HUMAN AND ROBOT,COLLABORATIVE
2,REPORT STATUS OF [GAS CHECK] TO HUMAN,HUMAN AND ROBOT,COLLABORATIVE
3,HUMAN GIVES AFFIRMATIVE REPLY,HUMAN,MANDATORY FOR HUMAN
4,"CHECK TANK ISOLATION [STEAM LINES, PRODUCT LINES, ELECTRICAL POWER]",ROBOT,UNSAFE
5,CHECK INSPECTION AREA FOR [FALLING OBJECTS HAZARDS],ROBOT,UNSAFE
6,CHECK INSPECTION AREA FOR [SLIPPING HAZARDS],HUMAN AND ROBOT,COLLABORATIVE
7,INSPECT STRUCTURAL WELDS [ACCESS WAYS AND CLIPS],HUMAN AND ROBOT,COLLABORATIVE
8,REVIEW CATHODIC POTENTIAL READINGS ,HUMAN,MANDATORY FOR HUMAN
9,INSPECT APPURTENANCES [LOWER TANK AREA],HUMAN AND ROBOT,COLLABORATIVE
10,INSPECT APPURTENANCES [UPPER TANK AREA],HUMAN AND ROBOT,COLLABORATIVE
11,INSPECT APPURTENANCES [TANK ROOF],HUMAN AND ROBOT,COLLABORATIVE
12,MEASURE THE TANK HEIGHT [FROM TOP TO BOTTOM],HUMAN AND ROBOT,COLLABORATIVE
13,REPORT MEASUREMENT TO HUMAN,HUMAN AND ROBOT,COLLABORATIVE
14,EXTERNAL SURFACE PREPARATION [TANK OUTER SHELL PLATE],HUMAN AND ROBOT,COLLABORATIVE
15,EXTERNAL VISUAL INSPECTION [TANK OUTER SHELL PLATE],HUMAN AND ROBOT,COLLABORATIVE
16,EXTERNAL VISUAL INSPECTION [TANK BOTTOM TO FOUNDATION],ROBOT,RANDOM SELECTION
17,EXTERNAL ULTRASONIC THICKNESS TESTING [TANK OUTER SHELL PLATE],HUMAN AND ROBOT,COLLABORATIVE
18,CLIMB UNTO [TANK ROOF],HUMAN AND ROBOT,COLLABORATIVE
19,EXTERNAL SURFACE PREPARATION [TANK ROOF],HUMAN AND ROBOT,COLLABORATIVE
20,EXTERNAL VISUAL INSPECTION[TANK ROOF],HUMAN AND ROBOT,COLLABORATIVE
21,CLIMB INTO [TANK INTERIOR ROOF],HUMAN AND ROBOT,COLLABORATIVE
22,INTERNAL VISUAL INSPECTION[TANK INTERIOR ROOF PLATES],HUMAN AND ROBOT,COLLABORATIVE
23,INTERNAL ULTRASONIC THICKNESS TESTING[TANK ROOF THIN AREA],HUMAN AND ROBOT,COLLABORATIVE
24,"PENETRANT TESTING [IF TANK INTERIOR IS PADDED], SKIP [IF TANK INTERIOR ROOF IS NOT PADDED]",HUMAN AND ROBOT,COLLABORATIVE
25,"SPARK TESTING [IF RECOATING OF TANK INTERIOR ROOF IS PLANNED], [IF RECOATING OF TANK INTERIOR IS NOT PLANNED SKIP]",HUMAN AND ROBOT,COLLABORATIVE
26,MOVE TO [TANK INTERIOR SHELL PLATES],HUMAN AND ROBOT,COLLABORATIVE
27,INTERNAL VISUAL INSPECTION[TANK INTERIOR SHELL PLATES],HUMAN,LOWER COST FUNCTION
28,MOVE TO [TANK INTERIOR BOTTOM],HUMAN AND ROBOT,COLLABORATIVE
29,INTERNAL VISUAL INSPECTION [TANK INTERIOR BOTTOM],HUMAN AND ROBOT,COLLABORATIVE
30,INTERNAL HAMMER TESTING[TANK INTERIOR BOTTOM],HUMAN AND ROBOT,COLLABORATIVE
31,INTERNAL ULTRASONIC THICKNESS TESTING[TANK INTERIOR BOTTOM],HUMAN AND ROBOT,COLLABORATIVE
32,INTERNAL VISUAL INSPECTION[TANK INTERIOR SHELL TO BOTTOM WELD],HUMAN AND ROBOT,COLLABORATIVE
33,INTERNAL VACCUUM TESTING [TANK INTERIOR BOTTOM LAP WELDS],HUMAN AND ROBOT,COLLABORATIVE
34,CLIMB OUT OF [TANK INTERIOR] TO [TANK EXTERIOR],HUMAN AND ROBOT,COLLABORATIVE
35,INSPECTION RESULT GENERATION ,ROBOT,LOWER COST FUNCTION
36,UPLOAD INSPECTION RESULT,HUMAN AND ROBOT,COLLABORATIVE
37,GO THROUGH THE INSPECTION RESULT,HUMAN,MANDATORY FOR HUMAN
38,AUTHORIZE THE INSPECTION RESULT,HUMAN,MANDATORY FOR HUMAN
39,END OF INSPECTION JOB,HUMAN AND ROBOT,COLLABORATIVE
